iter	Passed	Remaining
742	3638	1258
743	3642	1253
744	3648	1248
745	3652	1243
746	3656	1238
747	3661	1233
748	3666	1228
749	3672	1224
750	3677	1219
751	3682	1214
752	3686	1209
753	3690	1204
754	3696	1199
755	3702	1194
756	3706	1189
757	3712	1185
758	3716	1180
759	3720	1174
760	3724	1169
761	3731	1165
762	3735	1160
763	3739	1155
764	3745	1150
765	3749	1145
766	3754	1140
767	3759	1135
768	3764	1130
769	3769	1125
770	3773	1120
771	3778	1115
772	3782	1110
773	3787	1105
774	3793	1101
775	3797	1096
776	3802	1091
777	3808	1086
778	3812	1081
779	3816	1076
780	3820	1071
781	3826	1066
782	3830	1061
783	3835	1056
784	3841	1052
785	3845	1046
786	3849	1041
787	3854	1037
788	3859	1032
789	3864	1027
790	3871	1023
791	3875	1017
792	3880	1012
793	3884	1007
794	3890	1003
795	3894	998
796	3898	993
797	3904	988
798	3908	983
799	3913	978
800	3917	973
801	3922	968
802	3927	963
803	3931	958
804	3937	953
805	3941	948
806	3945	943
807	3951	938
808	3955	933
809	3960	928
810	3964	923
811	3970	919
812	3976	914
813	3981	909
814	3987	905
815	3991	900
816	3996	895
817	4002	890
818	4007	885
819	4012	880
820	4017	876
821	4022	871
822	4026	866
823	4032	861
824	4036	856
825	4041	851
826	4045	846
827	4051	841
828	4055	836
829	4060	831
830	4066	826
831	4071	822
832	4075	817
833	4081	812
834	4085	807
835	4090	802
836	4094	797
837	4100	792
838	4104	787
839	4108	782
840	4115	778
841	4119	772
842	4123	768
843	4129	763
844	4133	758
845	4138	753
846	4143	748
847	4148	743
848	4152	738
849	4156	733
850	4162	728
851	4167	723
852	4171	718
853	4177	714
854	4182	709
855	4186	704
856	4191	699
857	4196	694
858	4200	689
859	4204	684
860	4210	679
861	4215	674
862	4221	670
863	4227	665
864	4231	660
865	4236	655
866	4241	650
867	4246	645
868	4252	640
869	4257	636
870	4262	631
871	4267	626
872	4271	621
873	4276	616
874	4282	611
875	4286	606
876	4291	601
877	4297	597
878	4305	592
879	4311	587
880	4316	583
881	4323	578
882	4328	573
883	4332	568
884	4338	563
885	4342	558
886	4346	553
887	4351	548
888	4356	543
889	4360	538
890	4365	534
891	4371	529
892	4376	524
893	4380	519
894	4387	514
895	4391	509
896	4395	504
897	4401	499
898	4405	495
899	4410	490
900	4414	485
901	4420	480
902	4424	475
903	4428	470
904	4434	465
905	4438	460
906	4443	455
907	4448	450
908	4453	445
909	4457	440
910	4461	435
911	4467	431
912	4472	426
913	4477	421
914	4482	416
915	4487	411
916	4491	406
917	4496	401
918	4501	396
919	4505	391
920	4509	386
921	4515	382
922	4519	377
923	4524	372
924	4530	367
925	4534	362
926	4538	357
927	4543	352
928	4548	347
929	4552	342
930	4557	337
931	4562	332
932	4567	327
933	4571	323
934	4576	318
935	4581	313
936	4586	308
937	4591	303
938	4596	298
939	4601	293
940	4606	288
941	4611	283
942	4616	279
943	4620	274
944	4626	269
945	4630	264
946	4635	259
947	4639	254
948	4645	249
949	4649	244
950	4653	239
951	4659	234
952	4664	230
953	4668	225
954	4673	220
955	4678	215
956	4683	210
957	4688	205
958	4694	200
959	4698	195
960	4702	190
961	4708	185
962	4713	181
963	4717	176
964	4723	171
965	4727	166
966	4731	161
967	4736	156
968	4741	151
969	4745	146
970	4749	141
971	4755	136
972	4759	132
973	4764	127
974	4770	122
975	4775	117
976	4779	112
977	4784	107
978	4789	102
979	4793	97
980	4798	92
981	4804	88
982	4808	83
983	4812	78
984	4818	73
985	4822	68
986	4826	63
987	4831	58
988	4836	53
989	4841	48
990	4845	44
991	4851	39
992	4855	34
993	4859	29
994	4863	24
995	4869	19
996	4873	14
997	4877	9
998	4883	4
999	4889	0
