iter	RMSE
129	0.9485628276
130	0.9294588573
131	0.9219335603
132	0.9163720203
133	0.9092969517
134	0.9043581395
135	0.8979775185
136	0.880606502
137	0.8738885656
138	0.858820137
139	0.8428345168
140	0.8376865462
141	0.8326368459
142	0.8277074059
143	0.8205766167
144	0.8141911293
145	0.8074094801
146	0.8020590188
147	0.7958694891
148	0.790755931
149	0.7864407967
150	0.7821903825
151	0.7770452064
152	0.771068216
153	0.7545767874
154	0.7507711157
155	0.7336814265
156	0.7297873759
157	0.7177420958
158	0.7048520175
159	0.7006691252
160	0.6966001576
161	0.6917839877
162	0.687482406
163	0.6822499532
164	0.6773834646
165	0.6740540374
166	0.6616667169
167	0.6568398519
168	0.6523502232
169	0.6492492291
170	0.6455306907
171	0.6313382934
172	0.6269173947
173	0.6237525093
174	0.611130752
175	0.6073139563
176	0.6037265546
177	0.5923506591
178	0.5883475501
179	0.5844543134
180	0.5769275814
181	0.5732125795
182	0.5695992392
183	0.5621053728
184	0.5591423319
185	0.5557599245
186	0.5524701203
187	0.550037416
188	0.5429237947
189	0.5398266851
190	0.5370584092
191	0.5343995279
192	0.5247459447
193	0.521879028
194	0.5190915236
195	0.5170346058
196	0.5051898133
197	0.5027925674
198	0.5004316833
199	0.4899904612
200	0.4876988626
201	0.4856622549
202	0.4806622742
203	0.4784826372
204	0.476561364
205	0.4742510172
206	0.4639353281
207	0.4619269222
208	0.4597403654
209	0.4576081218
210	0.447971549
211	0.4463163167
212	0.4445269982
213	0.4426933227
214	0.440941128
215	0.4319343176
216	0.4304237435
217	0.4287401199
218	0.420346129
219	0.4188929647
220	0.4173325533
221	0.4157668487
222	0.4142294925
223	0.4064277036
224	0.4049343273
225	0.4035991836
226	0.4021713841
227	0.3950253161
228	0.3937397471
229	0.386973249
230	0.3857740485
231	0.384596308
232	0.3834511026
233	0.3823265066
234	0.3761292349
235	0.3748691814
236	0.3737963652
237	0.3725942494
238	0.3715246332
239	0.3657910621
240	0.3609036136
241	0.3599271093
242	0.3588262178
243	0.3524980933
244	0.3512996728
245	0.3503888819
246	0.3495025177
247	0.3438920205
248	0.3427669931
249	0.3397348382
250	0.3387389571
251	0.3377655884
252	0.3335520192
253	0.3308669541
254	0.3299788644
255	0.3292285933
256	0.3284971525
257	0.3247901634
258	0.3239635558
259	0.3231540132
260	0.3224765646
261	0.3215933039
262	0.3180384528
263	0.316175512
264	0.3151235402
265	0.3143155259
266	0.3136828391
267	0.3090879231
268	0.30841683
269	0.3041724763
270	0.3020984028
271	0.3014612672
272	0.300925776
273	0.3004041178
274	0.2998071716
275	0.2992240286
276	0.2984521574
277	0.2945858441
278	0.2928528634
279	0.2921239868
280	0.2888761799
281	0.2882809179
282	0.2878431711
283	0.2871721062
284	0.2838586221
285	0.2828175674
286	0.2823889928
287	0.2785348612
288	0.2781632254
289	0.2772899268
290	0.2735378916
291	0.2729356066
292	0.2694618779
293	0.2690192866
294	0.2685905094
295	0.2656270073
296	0.2630206449
297	0.2626632756
298	0.260876581
299	0.2604952424
300	0.2601777955
301	0.2584242609
302	0.2578765935
303	0.2551879532
304	0.2546546696
305	0.2519004373
306	0.2496172463
307	0.24716044
308	0.2453166613
309	0.2434282066
310	0.2429553886
311	0.2424958513
312	0.2408042174
313	0.2403591019
314	0.2398942152
315	0.2373917563
316	0.2358348662
317	0.2341309421
318	0.2338298564
319	0.2319185587
320	0.231513219
321	0.2300540701
322	0.2296622671
323	0.2277001496
324	0.2274729743
325	0.2271221191
326	0.226755554
327	0.2264266436
328	0.2247847649
329	0.2229266795
330	0.2214234682
331	0.2198511532
332	0.2178423953
333	0.2165040915
334	0.21617146
335	0.2143825371
336	0.2130542806
337	0.2115532643
338	0.2112348306
339	0.209956078
340	0.2095906374
341	0.2085277118
342	0.2081510798
343	0.2077874514
344	0.2065860338
345	0.2062519346
346	0.2053496156
347	0.2050406594
348	0.2040890208
349	0.2029764508
350	0.2018219328
351	0.2007271774
352	0.1997023638
353	0.198748696
354	0.197025633
355	0.1967276631
356	0.1964873596
357	0.1956599488
358	0.1944820312
359	0.1942531046
360	0.1940302647
361	0.1931703395
362	0.192925544
363	0.1913449598
364	0.1904909603
365	0.1887855529
366	0.1876328121
367	0.1873767463
368	0.1865239292
369	0.1857976754
370	0.18558423
371	0.1853914492
372	0.1847416547
373	0.1845545712
374	0.1829308446
375	0.1815636317
376	0.1813354402
377	0.1811594127
378	0.1800920439
379	0.1791203788
380	0.1782569062
381	0.1773484154
382	0.1766495453
383	0.1752680031
384	0.1746652242
385	0.1741229155
386	0.1738854325
387	0.1733081514
388	0.1727533304
389	0.1718727343
390	0.1707870383
391	0.1705594834
392	0.1703403658
393	0.1693860426
394	0.1672891622
395	0.1658109542
396	0.1644604479
397	0.1634439547
398	0.1619094793
399	0.1611518556
400	0.15975322
401	0.1588600452
402	0.1581561434
403	0.1576254225
404	0.1574405007
405	0.1566217578
406	0.1557085555
407	0.1546120201
408	0.1541789667
409	0.1530594477
410	0.1520138967
411	0.15192565
412	0.1517514151
413	0.1516183852
414	0.1506722707
415	0.149718257
416	0.149251655
417	0.1488558721
418	0.1486914184
419	0.1472976414
420	0.1468547717
421	0.146138943
422	0.145424996
423	0.1439821676
424	0.1431499116
425	0.1427642893
426	0.1426859847
427	0.1421353355
428	0.1416999507
429	0.1410433859
430	0.1406874537
431	0.1405322943
432	0.139486349
433	0.1387545607
434	0.1384007315
435	0.1379746624
436	0.137624973
437	0.1369267186
438	0.1367793073
439	0.1363168699
440	0.1361821571
441	0.1351310109
442	0.1348435171
443	0.1347348608
444	0.1343839333
445	0.1342401176
446	0.1337071447
447	0.1330801688
448	0.1327881766
449	0.1326502143
450	0.1317356461
451	0.130994346
452	0.1308937708
453	0.1302769095
454	0.1295815798
455	0.1292947636
456	0.1291960145
457	0.1290663271
458	0.1284078464
459	0.127880312
460	0.1275569396
461	0.1271222912
462	0.1269985154
463	0.1266152474
464	0.126359927
465	0.1259516985
466	0.1258447871
467	0.1256116544
468	0.1247674629
469	0.1246864265
470	0.1242458064
471	0.1234293457
472	0.1229578241
473	0.1221966381
474	0.1221190263
475	0.1220012851
476	0.1216011405
477	0.1213867367
478	0.1207617417
479	0.120647886
480	0.1200478032
481	0.1199438474
482	0.1195302623
483	0.1189993296
484	0.1184975555
485	0.1181131489
486	0.1180576233
487	0.1176633863
488	0.1176096188
489	0.1173990579
490	0.1168205411
491	0.1167172573
492	0.1164136674
493	0.1159617965
494	0.1158934628
495	0.1155911859
496	0.1152790406
497	0.114960399
498	0.1142280153
499	0.1139434056
500	0.1136007375
501	0.1135126757
502	0.1133144371
503	0.1131082375
504	0.1130583792
505	0.112973532
506	0.1127023233
507	0.1123455952
508	0.1119186892
509	0.1118704764
510	0.1112768915
511	0.1111985334
512	0.110957506
513	0.1105088235
514	0.1103475754
515	0.1103009378
516	0.1100422048
517	0.1098273613
518	0.1097814311
519	0.1094784721
520	0.1092711531
521	0.1090246664
522	0.1087228361
523	0.1084635227
524	0.1083131148
525	0.1080403333
526	0.1079453795
527	0.1077713626
528	0.1074384925
529	0.107393919
530	0.1073221321
531	0.1072795375
532	0.106828811
533	0.1066086165
534	0.1065666879
535	0.1064864684
536	0.1064457631
537	0.1062963818
538	0.1059793131
539	0.1056767273
540	0.105274993
541	0.1051368014
542	0.1050118702
543	0.1046473812
544	0.1045958108
545	0.1045078488
546	0.1040592577
547	0.1040089175
548	0.1035191839
549	0.1033678469
550	0.1031699274
551	0.1029587909
552	0.1028268011
553	0.1027887285
554	0.1027408045
555	0.102659806
556	0.1023359013
557	0.1022890687
558	0.1017504928
559	0.1013579691
560	0.1009298576
561	0.1007375896
562	0.1005612653
563	0.1004212123
564	0.09999733808
565	0.09980715597
566	0.09962546578
567	0.09935848733
568	0.09929223936
569	0.09925552958
570	0.09888205353
571	0.0985807352
572	0.09851774267
573	0.09839352164
574	0.09821474249
575	0.09817899105
576	0.09776764222
577	0.09739734444
578	0.09716556986
579	0.09692385652
580	0.096881879
581	0.09668774006
582	0.09623280389
583	0.09617153365
584	0.09613025031
585	0.09609005335
586	0.09588972545
587	0.09554807391
588	0.09529600946
589	0.09499502642
590	0.09482322965
591	0.09478396338
592	0.09453751904
593	0.09439037907
594	0.09428009272
595	0.0941100634
596	0.09407050333
597	0.09389268258
598	0.09365688432
599	0.09339028345
600	0.09333535012
601	0.09329801292
602	0.0931635975
603	0.09290296568
604	0.09282469882
605	0.09248095848
606	0.09229455449
607	0.09213584278
608	0.09184747749
609	0.09151743048
610	0.09119356504
611	0.09109012819
612	0.09099062162
613	0.09093805763
614	0.09063477529
615	0.09045492422
616	0.09024103549
617	0.09009281635
618	0.09006131399
619	0.0899456646
620	0.08991505258
621	0.0897673885
622	0.08971199268
623	0.08961716765
624	0.08940347405
625	0.08926728545
626	0.08903762293
627	0.08900769841
628	0.08882265393
629	0.08870286282
630	0.08855182513
631	0.0885228244
632	0.08841924199
633	0.08836718604
634	0.08833891052
635	0.08817360977
636	0.08810019589
637	0.08793571949
638	0.08777760728
639	0.08761082515
640	0.08758351003
641	0.08755686041
642	0.08742180406
643	0.08731718534
644	0.08712514679
645	0.08702799399
646	0.0867230139
647	0.08661445822
648	0.0865137357
649	0.08648799919
650	0.08644163039
651	0.08641644249
652	0.0860604197
653	0.08598277417
654	0.08595811772
655	0.08591357307
656	0.08588953286
657	0.08569491285
658	0.08560229647
659	0.08542721318
660	0.08521846378
661	0.08519507407
662	0.08511437685
663	0.08501758288
664	0.08490521126
665	0.08488228823
666	0.08480959252
667	0.08472260246
668	0.08462331694
669	0.0845273187
670	0.08450487122
671	0.08432236518
672	0.08417471107
673	0.08401052158
674	0.08382113308
675	0.08378109956
676	0.08371910957
677	0.08359867624
678	0.08339087471
679	0.08335508736
680	0.08318588486
681	0.08316453396
682	0.08297422707
683	0.08285176692
684	0.08278920679
685	0.08275206843
686	0.08260880853
687	0.08245093411
688	0.08241514541
689	0.08238159547
690	0.08235849541
691	0.08219260918
692	0.08215983071
693	0.08200503632
694	0.08195329171
695	0.08193129142
696	0.0818677041
697	0.08184630691
698	0.08160925205
699	0.08136683264
700	0.0812765629
701	0.08120571119
702	0.08118599833
703	0.08110975429
704	0.08094659557
705	0.08092743086
706	0.08075375772
707	0.08072337026
708	0.08056563781
709	0.08037406091
710	0.08015665714
711	0.08013792388
712	0.07995957016
713	0.07984425891
714	0.07977575747
715	0.07957579783
716	0.07942830448
717	0.07936123216
718	0.0792776729
719	0.07920038888
720	0.07912953931
721	0.0790568496
722	0.07903859836
723	0.07898300749
724	0.07892729016
725	0.07889808167
726	0.0786726553
727	0.07850755211
728	0.07833632533
729	0.07827251027
730	0.07809827687
731	0.07808065047
732	0.07787418531
733	0.07772881218
734	0.07771152913
735	0.0776946747
736	0.07750582622
737	0.07734951546
738	0.07724933341
739	0.07720438118
740	0.07714610524
741	0.07705328059
742	0.0769782374
743	0.07689937609
744	0.07684873235
745	0.07669857276
746	0.07668040192
747	0.07649240007
748	0.07643300636
749	0.07629546153
750	0.07621531868
751	0.07611417996
752	0.07604402545
753	0.07602788175
754	0.07588589767
755	0.0758273723
756	0.07580989326
757	0.07574578458
758	0.07570601098
759	0.07569057185
760	0.07560585957
761	0.07554459931
762	0.0754776158
763	0.07546245779
764	0.07537662857
765	0.07520535277
766	0.07512048073
767	0.07506407316
768	0.07496152708
769	0.07476067121
770	0.07465976083
771	0.07464483737
772	0.07446268142
773	0.07432903515
774	0.07418768454
775	0.0741298278
776	0.07408276257
777	0.07401538662
778	0.07382933606
779	0.07375898935
780	0.07373307578
781	0.07371877711
782	0.07358575415
783	0.07348672021
784	0.07343746019
785	0.07330609488
786	0.07317504739
787	0.07316109334
788	0.07302647637
789	0.07299024439
790	0.0729449442
791	0.07286041287
792	0.07284678902
793	0.07280090087
794	0.07272924754
795	0.07266752222
796	0.07265416816
797	0.07252407391
798	0.07250151949
799	0.07243933488
800	0.07235362211
801	0.07225489773
802	0.07219652484
803	0.07211863923
804	0.07205658366
805	0.07200064365
806	0.07198758281
807	0.07193390342
808	0.07181510647
809	0.07169478002
810	0.07158311946
811	0.07152584539
812	0.07140282222
813	0.07139009348
814	0.07134815768
815	0.07128831136
816	0.0711751321
817	0.07108580679
818	0.07103932365
819	0.07091255742
820	0.07088999585
821	0.07084110606
822	0.07082861265
823	0.07079556971
824	0.07075382955
825	0.0706285216
826	0.07061629995
827	0.07050029603
828	0.07047939922
829	0.07032990667
830	0.07010723987
831	0.07006507043
832	0.07003365768
833	0.06996417994
834	0.06995203994
835	0.06986118302
836	0.06981767668
837	0.06968810648
838	0.06958839339
839	0.0695673915
840	0.06955542016
841	0.06950115362
842	0.06936529928
843	0.06932513757
844	0.06931347301
845	0.06918448454
846	0.06914361174
847	0.06909830394
848	0.06899426529
849	0.06895568386
850	0.06894421825
851	0.06890700233
852	0.06885466205
853	0.0688023356
854	0.06868347364
855	0.06867090076
856	0.06855276836
857	0.06851092877
858	0.06843539011
859	0.06841105462
860	0.06831483684
861	0.06826371542
862	0.06822787675
863	0.06821681081
864	0.06815220156
865	0.06805439001
866	0.06804343156
867	0.06802287577
868	0.06792053076
869	0.06786775503
870	0.06779788483
871	0.06776305287
872	0.06775228543
873	0.06771157635
874	0.06758542753
875	0.06754301183
876	0.06750474113
877	0.06747104868
878	0.06730040374
879	0.06727319636
880	0.06722540749
881	0.06714408859
882	0.06706410514
883	0.06701568307
884	0.06699274976
885	0.06698223049
886	0.06682675474
887	0.06681641852
888	0.06667738696
889	0.06665085744
890	0.06661831697
891	0.06649629231
892	0.06647425501
893	0.06638050166
894	0.06637040688
895	0.06626614374
896	0.06623733202
897	0.06620091611
898	0.06613266189
899	0.06602115126
900	0.06601116764
901	0.06589740228
902	0.06587919727
903	0.06571863066
904	0.06570887035
905	0.06569932774
906	0.06557956393
907	0.06550420867
908	0.06542006121
909	0.06535924807
910	0.0653414994
911	0.06533211572
912	0.06523754324
913	0.06516389134
914	0.06510617035
915	0.06500400352
916	0.06497958016
917	0.06487085786
918	0.06479177003
919	0.06472266837
920	0.06470476948
921	0.06464355198
922	0.06460185532
923	0.06452842574
924	0.06451123151
925	0.06450203537
926	0.06449306952
927	0.06439079989
928	0.0643664761
929	0.06426813159
930	0.06424303002
931	0.06417068213
932	0.06413896977
933	0.0640452206
934	0.06395406632
935	0.06394524934
936	0.06392563663
937	0.06387275923
938	0.06379672936
939	0.06372345361
940	0.06364337521
941	0.06362056838
942	0.06360641515
943	0.06353226951
944	0.06350282317
945	0.06349409894
946	0.06343081061
947	0.06342229209
948	0.0633592087
949	0.06327054604
950	0.06317104428
951	0.06307311429
952	0.06304902144
953	0.06303549249
954	0.0630173352
955	0.06296134743
956	0.0629299297
957	0.06291571725
958	0.06283208076
959	0.0627658937
960	0.06275750841
961	0.06273174376
962	0.06268509901
963	0.06261747719
964	0.06259471873
965	0.06257802008
966	0.06255393673
967	0.06254567107
968	0.06253760613
969	0.06243252062
970	0.06241950135
971	0.06239620648
972	0.06233172891
973	0.06229090289
974	0.06222738355
975	0.06219850238
976	0.06219056781
977	0.06207146395
978	0.06197494567
979	0.0619486241
980	0.06186880628
981	0.06179769952
982	0.06174646316
983	0.06173867996
984	0.06171389158
985	0.06170199791
986	0.06162405806
987	0.061574267
988	0.06154920092
989	0.06151774332
990	0.06151011291
991	0.06140928965
992	0.06131948184
993	0.06131205113
994	0.0612498314
995	0.06118437467
996	0.06111725967
997	0.06109820001
998	0.06105098235
999	0.06096435568
